event_legislator,event_related_party,event_related_state,event_congress_district,event_meeting_type,event_date,event_time,event_description,event_location,event_url
Michael Enzi,Republican,Wyoming,Senate,Office Hours,"Tue, Mar 14, 2017","11:00 AM, MST",,"24 Waters Dr, Pine Haven, WY 82721",https://townhallproject.com
Michael Enzi,Republican,Wyoming,Senate,Office Hours,"Tue, Mar 14, 2017","10:00 AM, MST",,"104 N Big Horn Ave, Moorcroft, WY 82721",https://townhallproject.com
Robert AderholtÊ,Republican,Alabama,AL-04,Town Hall,"Mon, Apr 24, 2017Ê","6:00 PM, CDTÊ",With or Without Aderholt Town Hall by Indivisible Alabama - District 4,"Senior Citizen Activity Center 623 Broad St, Gadsden, AL 35901 ",https://townhallproject.com
Steve WomackÊ,Republican,Arkansas,AR-3,Town Hall,Thu Apr 13 2017Ê,"5:30 PM, CDTÊ",,"NWACC- NW AR Community College- White Auditorium 1 College Dr, Bentonville, AR 72712 ",https://townhallproject.com
Steve WomackÊ,Republican,Arkansas,AR-3,Town Hall,Wed Apr 12 2017Ê,"5:30 PM, CDTÊ",,"Van Buren School District Fine Arts Center 2001 Pointer Trail, Van Buren, AR 72956 ",https://townhallproject.com
Steve WomackÊ,Republican,Arkansas,AR-3,Town Hall,Mon Apr 10 2017Ê,"05:30 AM, CDTÊ",,"Arkansas Tech University Campus 1605 N Coliseum Dr, Russellville, AR 72801 ",https://townhallproject.com
Steve WomackÊ,Republican,Arkansas,AR-3,Town Hall,Tue Apr 11 2017Ê,"5:30 PM, CDTÊ",,"Durand Center 303 N Main St, Harrison, AR 72601 ",https://townhallproject.com
Anna EshooÊ,Democratic,California,CA-18,Town Hall,"Sat, Apr 22, 2017Ê","10:00 AM, PDTÊ",In-person Town Hall,"Caada College, Gymnasium 4200 Farm Hill Blvd, Woodside, CA 94061 ",https://townhallproject.com
Jeff DenhamÊ,Republican,California,CA-10,Town Hall,"Mon, Apr 17, 2017Ê","6:00 PM, PDTÊ",,"Larsa Banquet Hall 2107 E Monte Vista Ave, Denair, CA 95316 ",https://townhallproject.com
Mark DeSaulnierÊ,Democratic,California,CA-11,Town Hall,Sat Apr 08 2017Ê,"10:30 AM, PDTÊ",Joint Town hall with Representatives DeSaulnier and McNerney,"Nick Rodriguez Community Center Theater 213 F St, Antioch, CA 94509 ",https://townhallproject.com
Jerry McNerneyÊ,Democratic,California,CA-9,Town Hall,Sat Apr 08 2017Ê,"10:30 AM, PDTÊ",Joint Town hall with Representatives DeSaulnier and McNerney,"Nick Rodriguez Community Center Theater 213 F St, Antioch, CA 94509 ",https://townhallproject.com
Brad ShermanÊ,Democratic,California,CA-30,Town Hall,"Sat, Apr 22, 2017Ê","2:00 PM, PDTÊ",Valley Town Hall,"Reseda High School 18230 Kittridge St, Reseda, CA 91335 ",https://townhallproject.com
Tom McClintockÊ,Republican,California,CA-4,Town Hall,Sat Apr 08 2017Ê,"10:00 AM, PDTÊ",Loomis Town Hall,"Del Oro High School 3301 Taylor Rd, Loomis, CA 95650 ",https://townhallproject.com
Scott TiptonÊ,Republican,Colorado,CO-3,Town Hall,Fri Apr 07 2017Ê,"6:00 PM, MDTÊ",Montrose Town Hall Meeting,"Montrose High School Gymnasium 600 S Selig Ave, Montrose, CO 81401",https://townhallproject.com
Jared PolisÊ,Democratic,Colorado,CO-02,Town Hall,"Fri, Apr 7, 2017Ê","5:30 PM, MDTÊ",Boulder Town Hall,"CU Boulder UMC Glen Miller Ballroom 1669 Euclid Ave, Boulder, CO 80302",https://townhallproject.com
Mike CoffmanÊ,Republican,Colorado,CO-6,Town Hall,Fri Apr 14 2017Ê,"6:00 PM, MDTÊ",Rep Coffman Town Hall,"CU Anchutz Campus Education Building 2 South 13121 E 17th Ave, Aurora, CO 80045",https://townhallproject.com
Jared PolisÊ,Democratic,Colorado,CO-2,Town Hall,Sun Apr 09 2017Ê,"12:00 PM, MDTÊ",Nederland Town Hall,"Nederland Community Center 750 CO-72, Nederland, CO 80466 ",https://townhallproject.com
Scott TiptonÊ,Republican,Colorado,CO-3,Town Hall,Tue Apr 18 2017Ê,"6:00 PM, MDTÊ",Alamosa Town Hall Meeting,"Alamosa City Hall 300 Hunt Ave, Alamosa, CO 81101",https://townhallproject.com
Jared PolisÊ,Democratic,Colorado,CO-02,Town Hall,"Sat, Apr 8, 2017Ê","3:30 PM, MDTÊ",Loveland Town Hall,"Mountain View High School 3500 Mountain Lion Dr, Loveland, CO 80537",https://townhallproject.com
Scott TiptonÊ,Republican,Colorado,CO-3,Town Hall,Thu Apr 20 2017Ê,"5:30 PM, MDTÊ",Pueblo West town Hall Meeting,"661 W Capistrano Ave, Pueblo West, CO 81007  ",https://townhallproject.com
Ted YohoÊ,Republican,Florida,FL-3,Town Hall,Mon Apr 10 2017Ê,"6:00 PM, EDTÊ",,"Abraham Lincoln Middle School 1001 SE 12th St, Gainesville, FL 32641",https://townhallproject.com
Matt GaetzÊ,Republican,Florida,FL-01,Office Hours,"Tue, Apr 18, 2017Ê","6:00 PM, CDTÊ",Service Academy & ROTC Nights,"Crestview High School  1250 N Ferdon Blvd, Crestview, FL 32536",https://townhallproject.com
Matt GaetzÊ,Republican,Florida,FL-01,Office Hours,"Mon, Apr 17, 2017Ê","6:00 PM, CDTÊ",Service Academy & ROTC Nights,"Pine Forest High School  2500 Longleaf Dr, Pensacola, FL 32526",https://townhallproject.com
Ron DeSantisÊ,Republican,Florida,FL-06,Town Hall,"Mon, Apr 17, 2017Ê","7:00 PM, ESTÊ",Speaker Series at Embry-Riddle,"Willie Miller Instructional Center Auditorium 600 S Clyde Morris Blvd, Daytona Beach, FL 32114 ",https://townhallproject.com
Ted YohoÊ,Republican,Florida,FL-3,Town Hall,Sat Apr 08 2017Ê,"11:00 AM, EDTÊ",Town Hall Discussion in Orange ParkÊ,"Ridgeview High School  466 Madison Ave, Orange Park, FL 32065",https://townhallproject.com
Tom GravesÊ,Republican,Georgia,GA-14,Other,Mon Apr 24 2017Ê,"6:00 PM, EDTÊ",Reception for Congressional High School Visual Art Competition,"Historic Courthouse Gallery and Studios 11 Courthouse Square, Dallas, GA 30132 ",https://townhallproject.com
Brian SchatzÊ,Democratic,Hawaii,Senate,Town Hall,"Mon, Apr 17, 2017Ê","12:00 PM, HSTÊ",Brian Schatz Town Hall,"Mamiya Theater, Chaminade University  3140 Waialae Ave, Honolulu, HI 96816",https://townhallproject.com
Brian SchatzÊ,Democratic,Hawaii,Senate,Town Hall,"Wed, Apr 18, 2018Ê","1:00 PM, HSTÊ",Town Hall with Senator Brian Schatz,"University of Hawaii at Hilo, Sciences & Technology Building - Room 108, Sciences and Technology, W Lanikaula St, Hilo, HI 96720 ",https://townhallproject.com
Colleen HanabusaÊ,Democratic,Hawaii,HI-1,Town Hall,Sat Apr 22 2017Ê,"10:00 AM, HSTÊ",,"2062 S King St, Honolulu, HI 96826  ",https://townhallproject.com
Brad SchneiderÊ,Democratic,IL,10,Ticketed Event,Mon Apr 17 2017Ê,"6:00 PM, CDTÊ",Federal Budget Workshop,"Lake Forest College  555 N Sheridan Rd, Lake Forest, IL 60045",https://townhallproject.com
Brad SchneiderÊ,Democratic,Illinois,IL-13,Office Hours,"Wed, Apr 5, 2017Ê","3:00 PM, CDTÊ",Neighborhood Office Hours,"Waukegan Public Library  128 N County St, Waukegan, IL 60885",https://townhallproject.com
Brad SchneiderÊ,Democratic,Illinois,IL-13,Office Hours,"Thu, Apr 6, 2017Ê","9:30 AM, CDTÊ",Neighborhood Office Hours,"Highland Park Public Library  494 Laurel Ave, Highland Park, IL 60035",https://townhallproject.com
Brad SchneiderÊ,Democratic,Illinois,IL-13,Office Hours,"Tue, Apr 4, 2017Ê","10:00 AM, CDTÊ",Neighborhood Office Hours,"Park Place Senior Center  414 S Lewis Ave, Waukegan, IL 60085",https://townhallproject.com
Brad SchneiderÊ,Democratic,Illinois,IL-13,Office Hours,"Mon, Apr 10, 2017Ê","9:00 AM, CDTÊ",Neighborhood Office Hours,"Avon Township Center  433 E Washington St, Round Lake Park, IL 60073",https://townhallproject.com
Raja KrishnamoorthiÊ,Democratic,Illinois,IL-08,Office Hours,"Tue, Apr 4, 2017Ê","10:00 AM, CDTÊ",Satellite Office Hours,"Village Hall, Consul Room  201 S Bloomingdale Rd, Bloomingdale, IL 60108",https://townhallproject.com
Raja KrishnamoorthiÊ,Democratic,Illinois,IL-08,Office Hours,"Thu, Apr 6, 2017Ê","10:00 AM, CDTÊ",Satellite Office Hours,"Village Hall, Regan Room  1900 Hassell Rd, Hoffman Estates, IL 60169",https://townhallproject.com
Mike QuigleyÊ,Democratic,Illinois,IL-5,Town Hall,Mon Apr 17 2017Ê,"6:15 PM, CDTÊ",,"Irish American Heritage Center 4626 N Knox Ave, Chicago, IL 60630 ",https://townhallproject.com
Janice SchakowskyÊ,Democratic,Illinois,IL-9,Town Hall,Mon Apr 17 2017Ê,"6:15 PM, CDTÊ",,"Irish American Heritage Center 4626 N Knox Ave, Chicago, IL 60630 ",https://townhallproject.com
Brad SchneiderÊ,Democratic,Illinois,IL-13,Office Hours,"Tue, Apr 4, 2017Ê","10:00 AM, CDTÊ",Neighborhood Office Hours,"North Chicago Public Library  2100 Argonne Dr, North Chicago, IL 60064",https://townhallproject.com
Brad SchneiderÊ,Democratic,Illinois,IL-13,Office Hours,"Thu, Apr 6, 2017Ê","3:00 PM, CDTÊ",Neighborhood Office Hours,"Northbrook Public Library  1201 Cedar Ln, Northbrook, IL 60062",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Fri Apr 07 2017Ê,"10:00 AM, CDTÊ",Town Hall,"Patterson Community Center  150 N 8th St, Winterset, IA 50273",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Sat Apr 08 2017Ê,"3:00 PM, CDTÊ",Town Hall,"Prescott Public Library  607 2nd St, Prescott, IA 50859",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Sat Apr 08 2017Ê,"08:00 AM, CDTÊ",Town Hall,"Indianola High School- West Cafeteria  1304 E 1st Ave, Indianola, IA 50125",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Mon Apr 10 2017Ê,"08:00 AM, CDTÊ",Town Hall,"Carson Community Center  316 S Commercial St, Carson, IA 51525",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Mon Apr 10 2017Ê,"10:30 AM, CDTÊ",Town Hall,"Emerson Community Building/City Hall  410 Manchester St, Emerson, IA 51533",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Sat Apr 08 2017Ê,"12:30 PM, CDTÊ",Town Hall,"Cumberland Community Building  200 E 2nd St, Cumberland, IA 50843",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Tue Apr 11 2017Ê,"08:00 AM, CDTÊ",Town Hall,"Villisca Community Building  207 S 3rd Ave, Villisca, IA 50864",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Tue Apr 11 2017Ê,"11:00 AM, CDTÊ",Town Hall,"Essex City Hall Community Room  412 Iowa Ave, Essex, IA 51638",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Tue Apr 11 2017Ê,"1:30 PM, CDTÊ",Town Hall,"New Market Community Center  512 Main St, New Market, IA 51646",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,DC Event,Tue Apr 04 2017Ê,"08:00 AM, EDTÊ",Coffee with my Congressman,"121 Cannon House Building  27 Independence Ave SE, Washington, DC 20003",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Fri Apr 07 2017Ê,"07:00 AM, CDTÊ",Town Hall,"Iowa State Fairgrounds- Cattle Sales Center  3000 E Grand Ave, Des Moines, IA 50317",https://townhallproject.com
David YoungÊ,Republican,Iowa,IA-3,Town Hall,Mon Apr 10 2017Ê,"2:00 PM, CDTÊ",Town Hall,"Fremont County Courthouse  506 Filmore St, Sidney, IA 51652",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-01,Town Hall,"Mon, Apr 10, 2017Ê","2:30 PM, CDTÊ",Simpson County Town Hall,"Simpson County Historical Courthouse, 2nd Floor Courtroom 100 N Main St, Franklin, KY 42134 ",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-01,Town Hall,"Mon, Apr 10, 2017Ê","6:00 PM, CDTÊ",Hopkinsville Farm Bill Listening Session,"Hopkinsville Community College  720 North Dr, Hopkinsville, KY 42240",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-01,Town Hall,"Tue, Apr 11, 2017Ê","4:00 PM, CDTÊ",Lyon County Town Hall,"Lyon County Courthouse  500 W Dale Ave, Eddyville, KY 42038",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-01,Town Hall,"Wed, Apr 12, 2017Ê","9:30 AM, CDTÊ",Trigg County Town Hall,"Renaissance Center  49 Jefferson St, Cadiz, KY 42211",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-01,Town Hall,"Wed, Apr 12, 2017Ê","1:30 PM, CDTÊ",Webster County Town Hall,"Webster County Extension Office  1118 US-41 ALT, Dixon, KY 42409",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-01,Town Hall,"Thu, Apr 13, 2017Ê","3:00 PM, CDTÊ",Ohio County Town Hall,"Ohio County Community Center Auditorium  130 E Washington St, Hartford, KY 42347",https://townhallproject.com
Thomas MassieÊ,Republican,Kentucky,KY-04,Ticketed Event,"Fri, Apr 21, 2017Ê","11:30 AM, EDTÊ",Government Forum Luncheon featuring Repr. Thomas Massie (KY-04),"Children's Home of Northern KentuckyÊ 200 Home Rd, Covington, KY 41011 ",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Mon Apr 10 2017Ê,"09:30 AM, EDTÊ",,"Campbellsville Civic Center 205 N Columbia Ave, Campbellsville, KY 42718 ",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Mon Apr 10 2017Ê,"2:30 PM, CDTÊ",Simpson County Town Hall,"Simpson County Historical Courthouse, 2nd Floor Courtroom 100 N Main St, Franklin, KY 42134 ",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Mon Apr 10 2017Ê,"6:00 PM, CDTÊ",Hopkinsville Farm Bill Listening Session,"Hopkinsville Community College  720 North Dr, Hopkinsville, KY 42240",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Tue Apr 11 2017Ê,"4:00 PM, CDTÊ",Lyon County Town Hall,"Lyon Co. Courthouse  500 W Dale Ave, Eddyville, KY 42038",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Wed Apr 12 2017Ê,"09:30 AM, CDTÊ",Trigg County Town Hall,"Renaissance Center  49 Jefferson St, Cadiz, KY 42211",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Wed Apr 12 2017Ê,"1:30 PM, CDTÊ",Webster County Town Hall,"Webster County Extension Office  1118 US-41 ALT, Dixon, KY 42409",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Thu Apr 13 2017Ê,"3:00 PM, CDTÊ",Ohio County Town Hall,"Ohio County Community Center Auditorium  130 E Washington St, Hartford, KY 42347",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Mon Apr 17 2017Ê,"4:00 PM, CDTÊ",Union County Town Hall,"Union County Job Corps Center  2302 US-60, Morganfield, KY 42437",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-1,Town Hall,Tue Apr 18 2017Ê,"4:00 PM, CDTÊ",Hopkins County Town Hall,"Hopkins County Fiscal Court Room  56 N Main St, Madisonville, KY 42431",https://townhallproject.com
Thomas MassieÊ,Republican,Kentucky,KY-4,Ticketed Event,Fri Apr 21 2017Ê,"11:30 AM, EDTÊ",Children's Home of Northern KentuckyÊ,"200 Home Rd, Covington, KY 41011  ",https://townhallproject.com
Andy BarrÊ,Republican,Kentucky,KY-6,Office Hours,Tue Apr 04 2017Ê,"09:00 AM, EDTÊ",Mobile Office Hours,"Bath County Courthouse  17 W Main St, Owingsville, KY 40360",https://townhallproject.com
Andy BarrÊ,Republican,Kentucky,KY-6,Office Hours,Tue Apr 04 2017Ê,"1:00 PM, EDTÊ",District Office Hours,"Fleming County Courthouse  201 Court Square, Flemingsburg, KY 41041",https://townhallproject.com
James ComerÊ,Republican,Kentucky,KY-01,Town Hall,"Mon, Apr 10, 2017Ê","9:30 AM, EDTÊ",Taylor County Town Hall,"Taylor County Town Hall  205 N Columbia Ave, Campbellsville, KY 42718",https://townhallproject.com
Andy BarrÊ,Republican,Kentucky,KY-6,Office Hours,Wed Apr 05 2017Ê,"1:00 PM, EDTÊ",District Office Hours,"Menifee County Courthouse  Main St, Frenchburg, KY 40322",https://townhallproject.com
Andy BarrÊ,Republican,Kentucky,KY-6,Office Hours,Wed Apr 05 2017Ê,"3:00 PM, EDTÊ",District Office Hours,"Clark County-Winchester City Hall  32 Wall St, Winchester, KY 40391",https://townhallproject.com
Andy BarrÊ,Republican,Kentucky,KY-6,Office Hours,Wed Apr 05 2017Ê,"09:00 AM, EDTÊ",District Office Hours,"Wolfe County Courthouse  10 Court St, Campton, KY 41301",https://townhallproject.com
Anthony BrownÊ,Democratic,Maryland,MD-4,Town Hall,Thu Apr 06 2017Ê,"7:00 PM, EDTÊ",Progressive Cheverly Town Hall Forum,"Hoyer Early Education Center  2300 Belleview Ave, Cheverly, MD 20785",https://townhallproject.com
Mike CapuanoÊ,Democratic,Massachusetts,MA-07,Town Hall,"Thu, Apr 13, 2017Ê","6:00 PM, EDTÊ",Mike Capuano Community Meeting,"East Boston High School auditorium  86 White St, Boston, MA 02128",https://townhallproject.com
Mike CapuanoÊ,Democratic,Massachusetts,MA-07,Town Hall,"Wed, Apr 12, 2017Ê","7:00 PM, EDTÊ",Mike Capuano Community Meeting,"Stetson Hall  6 S Main St, Randolph, MA 02368",https://townhallproject.com
Michael CapuanoÊ,Democratic,Massachusetts,MA-7,Mon Apr 10 2017Ê,,,,,https://townhallproject.com
Seth MoultonÊ,Democratic,Massachusetts,MA-6,Town Hall,Sat Apr 08 2017Ê,"12:00 PM, EDTÊ",TownHall Q&A,"North Shore Community College Ð Lynn Campus, Gymnasium  300 Broad St, Lynn, MA 01901",https://townhallproject.com
Michael CapuanoÊ,Democrat,Massachusetts,MA-07,Town Hall,"Wed, Apr 12, 2017Ê","7:00 PM, EDTÊ",Community Meeting,"Stetson Hall  6 S Main St, Randolph, MA 02368",https://townhallproject.com
Joe Kennedy IIIÊ,Democrat,Massachusetts,4,Ticked Event,"Fri, Jun 2, 2017Ê","8:00 AM, EDTÊ",Coffee with Congressman Joe Kennedy III,"Coolidge Corner Theatre  290 Harvard St, Brookline, MA 02446",https://townhallproject.com
Jack BergmanÊ,Republican,Michigan,MI-01,Office Hours,"Tue, Apr 4, 2017Ê","10:00 AM, CDTÊ",March Mobile Office Hours,"401 Iron Mountain St, Iron Mountain, MI 49801  ",https://townhallproject.com
Rep. Mike BishopÊ,Republican,Michigan,MI-08,Town Hall,"Tue, Apr 11, 2017Ê","6:30 PM, EDTÊ",Citizen's Town Hall - Mike Bishop Invited,"Crystal Gardens Banquet Center  5768 E Grand River Ave, Howell, MI 48843",https://townhallproject.com
Mike BishopÊ,Republican,Michigan,MI-08,Town Hall,"Tue, Apr 11, 2017Ê","6:30 PM, EDTÊ",Citizen's Town Hall - Mike Bishop Invited,"Crystal Gardens Banquet Center  5768 E Grand River Ave, Howell, MI 48843",https://townhallproject.com
Jack BergmanÊ,Republican,Michigan,MI-01,Office Hours,"Mon, Apr 3, 2017Ê","10:00 AM, EDTÊ",March Mobile Office Hours,"184 W Flint St, Gwinn, MI 49841  ",https://townhallproject.com
Jack BergmanÊ,Republican,Michigan,MI-01,Office Hours,"Mon, Apr 3, 2017Ê","1:30 PM, EDTÊ",March Mobile Office Hours,"301 E Superior St, Munising, MI 49862  ",https://townhallproject.com
Jack BergmanÊ,Republican,Michigan,MI-01,Office Hours,"Tue, Apr 4, 2017Ê","1:30 PM, CDTÊ",March Mobile Office Hours,"305 S Carpenter Ave, Kingsford, MI 49802  ",https://townhallproject.com
Emanuel CleaverÊ,Democratic,Missouri,MO-05,Town Hall,"Sat, Apr 15, 2017Ê","1:30 PM, CDTÊ",Congressional Art Competition,"Kansas City Public Library  14 W 10th St, Kansas City, MO 64105",https://townhallproject.com
Steve PearceÊ,Republican,New Mexico,NM-02,Coffee,"Sat, Apr 8, 2017Ê","8:30 AM, MDTÊ",Coffee With Your Legislators,"Sopa's Restaurant  1700 Bosque Farms Blvd, Bosque Farms, NM 87068",https://townhallproject.com
Tom UdallÊ,Democratic,New Mexico,Senate,Other,Tue Apr 04 2017Ê,"08:30 AM, EDTÊ",Tuesdays With Tom Constituent Coffee,"Hart Senate Office  531 Hart Bldg, Washington, DC 20510",https://townhallproject.com
Jerrold NadlerÊ,Democratic,New York,NY-10,Town Hall,Thu Apr 13 2017Ê,"6:00 PM, EDTÊ",Town Hall,"Brandeis High School Campus  145 W 84th St, New York, NY 10024",https://townhallproject.com
Yvette ClarkeÊ,Democratic,New York,NY-09,Town Hall,"Wed, Apr 19, 2017Ê","6:00 PM, EDTÊ","Community Town Hall on Immigration, Gun Safety, and Healthcare","New Life Tabernacle 4905 Avenue D, Brooklyn, NY 11203 ",https://townhallproject.com
John KatkoÊ,Republican,New York,NY-24,Empty Chair Town Hall,Wed Apr 12 2017Ê,"7:00 PM, EDTÊ",Skaneateles Democratic Committee Town Hall Meeting on Health Care Legislation," 28 Hannum St, Skaneateles, NY 13152 ",https://townhallproject.com
G.K. ButterfieldÊ,Democratic,North Carolina,NC-01,Town Hall,Tue Apr 11 2017Ê,"6:30 PM, EDTÊ",Forward Together: A Community Discussion,"East Carolina Heart Institute  115 Heart Dr, Greenville, NC 27834",https://townhallproject.com
David PriceÊ,Democrat,North Carolina,NC-04,Town Hall,"Sat, Apr 8, 2017Ê","6:00 PM, EDTÊ",Raleigh Town Hall,"William Peace University's Kenan Hall  15 E Peace St, Raleigh, NC 27604",https://townhallproject.com
G.K. ButterfieldÊ,Democratic,North Carolina,NC-01,Town Hall,Tue Apr 11 2017Ê,"6:30 PM, EDTÊ",Forward Together: A Community Discussion,"East Carolina Heart Institute  115 Heart Dr, Greenville, NC 27834",https://townhallproject.com
Warren DavidsonÊ,Republican,Ohio,OH-08,Office Hours,"Wed, Apr 5, 2017Ê","10:00 AM, EDTÊ",Mobile Office Hours,"Liberty Township Administrative Building 7162 Liberty Centre Dr, West Chester Township, OH 45069 ",https://townhallproject.com
Warren DavidsonÊ,Republican,Ohio,OH-08,Office Hours,"Wed, Apr 5, 2017Ê","11:15 AM, EDTÊ",Mobile Office Hours,"City of Monroe Administrative Building, Courthouse  233 S Main St, Monroe, OH 45050",https://townhallproject.com
Warren DavidsonÊ,Republican,Ohio,OH-08,Office Hours,"Wed, Apr 5, 2017Ê","12:30 PM, EDTÊ",Mobile Office Hours,"City of Trenton Administrative Building Courtroom  11 E State St, Trenton, OH 45067",https://townhallproject.com
Warren DavidsonÊ,Republican,Ohio,OH-08,Office Hours,"Wed, Apr 5, 2017Ê","1:45 PM, EDTÊ",Mobile Office Hours,"City of Middletown Administrative Building, Room 2B  1 Donham Plaza, Middletown, OH 45042",https://townhallproject.com
Warren DavidsonÊ,Republican,Ohio,OH-08,Office Hours,"Wed, Apr 5, 2017Ê","3:00 PM, EDTÊ",Mobile Office Hours,"Wayne Township Administrative Building  5967 Jacksonburg Rd, Trenton, OH 45067",https://townhallproject.com
James RenacciÊ,Republican,Ohio,OH-16,Ticketed Event,"Wed, Apr 26, 2017Ê","3:00 PM, EDTÊ",Veterans Benefit,"S.A.L.T. BOX Ministries  408 Market St W, Canal Fulton, OH 44614",https://townhallproject.com
Jim JordanÊ,Republican,Ohio,OH-4,Town Hall,Thu Apr 27 2017Ê,"6:00 PM, EDTÊ",Town Hall with Rep. Jim Jordan,"Lima Civic Center & Memorial Hall  7 Public Square, Lima, OH 45801",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-02,Town Hall,"Fri, Apr 7, 2017Ê","9:30 AM, CDTÊ",Marshall County Town Hall,"Madill Library  500 W Overton St, Madill, OK 73446",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-02,Town Hall,"Fri, Apr 7, 2017Ê","11:30 AM, CDTÊ",Bryan County Town Hall,"Donald W. Reynolds Community Center and Library  1515 W Main St, Durant, OK 74701",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-02,Town Hall,"Fri, Apr 7, 2017Ê","8:00 AM, CDTÊ",Johnston County Town Hall,"Tishomingo City Hall  1130 E Main St, Tishomingo, OK 73460",https://townhallproject.com
Jim BridenstineÊ,Republican,Oklahoma,OK-1,Town Hall,"Tue, Apr 11, 2017Ê","6:30 PM, CDTÊ",Securing America Town Hall,"Mabee Center  7777 S Lewis Ave, Tulsa, OK 74136",https://townhallproject.com
Jim BridenstineÊ,Republican,Oklahoma,OK-1,Town Hall,Tue Apr 11 2017Ê,"6:30 PM, CDTÊ",Mabee Center - Oral Roberts University,"7777 S Lewis Ave, Tulsa, OK 74136  ",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Mon Apr 10 2017Ê,"08:00 AM, CDTÊ",Delaware County Town Hall,"Delaware County Historical Society Museum  538 W Krause St, Jay, OK 74346",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Mon Apr 10 2017Ê,"10:00 AM, CDTÊ",Ottawa County Town Hall,"Paul Thomas Family Center  1527 N Main St, Miami, OK 74354",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Mon Apr 10 2017Ê,"12:00 PM, CDTÊ",Craig County Town Hall,"Craig County Fairgrounds  915 E Apperson Rd, Vinita, OK 74301",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Mon Apr 10 2017Ê,"1:30 PM, CDTÊ",Nowata County Town Hall,"Nowata County Fairgrounds  612 Roxy Ave, Nowata, OK 74048",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Mon Apr 10 2017Ê,"5:30 PM, CDTÊ",Adair County Town Hall,"Stilwell Community Center  N 6th St, Stilwell, OK 74960",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Tue Apr 11 2017Ê,"09:00 AM, CDTÊ",Hughes County Town Hall,"Wes Watkins Technology Center  7892 OK-9, Wetumka, OK 74883",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Tue Apr 11 2017Ê,"10:30 AM, CDTÊ",Okfuskee County Town Hall,"Citizens State Bank- Community Room  402 W Broadway St, Okemah, OK 74859",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Tue Apr 11 2017Ê,"3:00 PM, CDTÊ",McIntosh County Town Hall,"Checotah Senior Activity Center  611 N Broadway St, Checotah, OK 74426",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Tue Apr 11 2017Ê,"5:30 PM, CDTÊ",Cherokee County Town Hall,"Sequoyah High School- Main Auditorium  17091 S Muskogee Ave, Tahlequah, OK 74464",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Wed Apr 12 2017Ê,"08:00 AM, CDTÊ",Sequoyah County Town Hall,"Carl Albert State College- JT Stites Multi-Purpose Center 1601 S Opdyke St, Sallisaw, OK 74955 ",https://townhallproject.com
